ballotid,st,state,stateno,state_fips,state_icpsr,year,ballotname,ballotdescrip,type,electiontype,passed,pctyesvotes,unknownstatus,unofficialvotetotal,topicarea,abort,agricult,animalrights_huntfish,arts_cult,banking_finance,bond_meas,budgets,bus_commerce,civil_conlaw,criminal,drug,econdev,ed_higher,ed_prek12,elections,elections_initiative,energy_electric,environ,ethics_lobby_camfin,fedgov,gambling_lottery,health,humanservices,insurance,judiciary,juvenile_justice,labor_employ,landuse_proprights,legislatures,localgov,military_vet,natresourc,redistricting,stategov,tribalrelat,tax_rev,telecom_it,termlimits,transportation,cumulbystate,totalbystate
AL1,AL,Alabama,1,1,41,1992 ,Amendment 1,Forever Wild Land Trust Act, Legislative Referendum , General,1,56.09999847,0,0, Budgets | Natural Resources ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,127
AL2,AL,Alabama,1,1,41,1992 ,Amendment 2,Pell City Board of Education, Legislative Referendum , General,1,80.09999847,0,0, Education: PreK-12 | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,127
AL3,AL,Alabama,1,1,41,1994 ,Amendment 4-P,Chambers County Property Tax Increase for Library, Legislative Referendum , Primary,0,41.40000153,1,0, Arts & Culture | Local Government | Tax & Revenue ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,127
AL4,AL,Alabama,1,1,41,1994 ,Amendment 3-P,Decatur City Board of Education, Legislative Referendum , Primary,0,41.59999847,1,0, Education: PreK-12 | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,127
AL5,AL,Alabama,1,1,41,1994 ,Amendment 2-P,Dotham City Board of Education, Legislative Referendum , Primary,0,45.79999924,1,0, Education: PreK-12 | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,127
AL6,AL,Alabama,1,1,41,1994 ,Amendment 1-P,Property Tax Increase for Fire Education, Legislative Referendum , Primary,0,47.59999847,1,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,127
AL7,AL,Alabama,1,1,41,1994 ,Amendment 8,Compensation of Judges of Probate in Autauga County, Legislative Referendum , General,0,48.09999847,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,127
AL8,AL,Alabama,1,1,41,1994 ,Amendment 6,County Officials' Participation in Employee's Retirement System, Legislative Referendum , General,0,48.59999847,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,127
AL9,AL,Alabama,1,1,41,1994 ,Amendment 21,Real Estate License and Transaction Taxes in Shelby County, Legislative Referendum , General,0,49,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,127
AL10,AL,Alabama,1,1,41,1994 ,Amendment 22,Indebtedness by Shelby County, Legislative Referendum , General,0,49.79999924,0,0, Budgets | Local Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,127
